video_link,spot_products,brand_name,spot_language,brand_parent_name,spot_description
https://d3npuic909260z.cloudfront.net/001/168/018/7_1U.mp4,Miller High Life Miller High Life,Miller High Life,en,Molson Coors Brewing Company,"One mans mega yatch is more like a rickety boat on a pond, but it means just as much to this fisherman as ever. Enjoy the finer things in life, be rich, with Miller."
https://d3npuic909260z.cloudfront.net/001/168/002/7_1X.mp4,Miller High Life Miller High Life,Miller High Life,en,Molson Coors Brewing Company,"Having a rich life means having fun playing horseshoes with your friends, having a BBQ served with other little dankies, designer footwear and more. Take the high life with you when you drink Miller beer."
https://d3npuic909260z.cloudfront.net/001/168/127/7_6H.mp4,NULL,Bud Light,en,Anheuser-Busch,Matt the unsuspecting Broncos fan was spotted holding a Bud Light and ends up experiencing his dream game day.
https://d3npuic909260z.cloudfront.net/001/168/530/7_Kw.mp4,Budweiser Budweiser,Budweiser,en,Anheuser-Busch,"Budweiser wants to make sure that you have as much fun making it home safe as you do enjoying a night out. Make sure you get an epic Lyft this holiday season. Who knows, you Lyft might be a clydesdale-drawn carriage."
https://d3npuic909260z.cloudfront.net/001/166/886/7_VV.mp4,NULL,Samuel Adams,en,Boston Beer Company,"Samuel Adams celebrates the independence that made them a beer pioneer. They dont take life too seriously, except when it comes to beer. Taste the difference with a Samuel Adams beer."
https://d3npuic909260z.cloudfront.net/001/230/049/700z.mp4,Redds Apple Ale Redds Apple Ale,Redd's Apple Ale,en,Molson Coors Brewing Company,"While at a beach party, this guy goes to grab him and his buddy a Redds Apple Ale, when he is told to slow down by a guard shark. However, his friend realizes that this is completely normal, because Redds Apple Ale is the official beer of Discovery Channels Shark Week. Enjoy all week long starting July 5th, 2015."
https://d3npuic909260z.cloudfront.net/001/227/533/701W.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"If youve ever wondered how the ESPN SportsCenter anchors stay at the top of their game, heres where you find out. They stay motivated, work out to stay in tip-top shape and stay refreshed. John Buccigross does the three things by saying positive affirmations to himself in the mirror, doing more than 300 push ups and relaxing in a white robe while enjoying Coors Light. After all, every great anchor deserves equally great refreshment."
https://d3npuic909260z.cloudfront.net/001/226/896/70dM.mp4,Corona Light Corona Light,Corona Light,en,Constellation Brands,"During a party, a man grabs two bottles of Corona Light with a lime slice on top of each and hands one to his date. To his surprise, she pushes the lime slice all the way in and then proceeds to turn the bottle upside down. Now, as the lime slowly bubbles its way to the top and dons its refreshing flavor, this Corona has more taste. Make your nights less ordinary and enjoy more of what matters with Corona Light."
https://d3npuic909260z.cloudfront.net/001/229/812/70h8.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,"In the latest Bud Light commercial with footage from hidden cameras, two friends on a beach read that Bud Light is the perfect beer for dropping the beat. Then, when the women see a play button pop out of the sand, they step on it, leading to a man parachuting down from a helicopter followed by Lil Jon putting on an epic show. Party all summer long with Bud Light!"
https://d3npuic909260z.cloudfront.net/001/229/633/70i9.mp4,Bud Light Apple | Bud Light Bud Light,Bud Light,en,Anheuser-Busch,A bartender slides a Bud Light down the bar when suddenly an apple comes flying through the air and crashes into it. The apple explodes upon impact and leaves the newly transformed Bud Light Apple behind.
https://d3npuic909260z.cloudfront.net/001/228/083/70KS.mp4,Montejo Montejo,Montejo,es,NULL,Un hombre escucha la canci?n Oye mi amor tocado en vivo mientras carga un vaso de cerveza fr?a en la mano. ?l dice que le gusta el balance. Es importante tener balance en la vida. Por ejemplo es importante tener balance en la cerveza. Y ahora la marca de cerveza Montejo y Man? va a trabajar juntos para darte un concierto privado.
https://d3npuic909260z.cloudfront.net/001/228/330/70l6.mp4,Coors Light Coors Light,Coors Light,es,Molson Coors Brewing Company,"No importa donde estés, agrega sabor a cualquier momento. Refresca tu mundo con Coors Light."
https://d3npuic909260z.cloudfront.net/001/228/361/70li.mp4,Strongbow Hard Apple Cider,Strongbow,en,Heineken International,"When youre at a party, all you need to break the ice is Strongbow Hard Cider, just like the announcer says. So, Sir Patrick Stewart is no longer needed even as hes about to recite his lines to the camera -- in fact, hes fired. Enjoy the taste of Strongbow Hard Cider."
https://d3npuic909260z.cloudfront.net/001/228/391/70R1.mp4,NULL,Miller Lite,en,Molson Coors Brewing Company,"Roll with lifes tides and stay afloat with Miller Lite. With a refreshingly taste, youll have happy sailings."
https://d3npuic909260z.cloudfront.net/001/229/319/70xV.mp4,Blue Moon White IPA,Blue Moon,en,Molson Coors Brewing Company,"Have you tried Blue Moons White IPA? Founder and Head Brewmaster Keith Villa shares the company has brewed Belgian White and that creating their White IPA was thus an eye-opening process. With wheat, orange peel and coriander, they experimented toward the finished product one hop at a time. As everyone at Blue Moon clinks their glasses, they celebrate their new and innovative beer."
https://d3npuic909260z.cloudfront.net/001/067/344/720U.mp4,Modelo Chelada Especial,Modelo,es,Constellation Brands,Estamos de acuerdo. El día es mejor con chelada. La chelada es mejor cuando es Modelo Especial.
https://d3npuic909260z.cloudfront.net/001/221/135/73_w.mp4,Corona Extra Corona Extra,Corona Extra,en,Constellation Brands,"Dear Summer, why do days seem longer with you? Why do you get bonfires, bikinis, and the perfect beer? Winter writes a letter to Summer and suggests they hang out."
https://d3npuic909260z.cloudfront.net/001/219/616/7319.mp4,Corona Extra Corona Extra,Corona Extra,en,Constellation Brands,"IFC wants to help you find your beach with Corona. If your bus is late, work is piling up and the vending machine is holding your snack hostage, grab a Corona to help turn your frown upside down."
https://d3npuic909260z.cloudfront.net/001/219/523/732j.mp4,Miller Lite Miller Lite,Miller Lite,es,Molson Coors Brewing Company,"Dos hombres de aspecto muy graves se encuentran cara a cara en la nevera Miller Lite en la parte trasera de una tienda de conveniencia. Por un momento parece que podrían luchar, pero tanto llegar a un caso de Miller Lite y dejar como amigos."
https://d3npuic909260z.cloudfront.net/001/219/550/732v.mp4,Miller Lite Miller Lite,Miller Lite,en,Molson Coors Brewing Company,"The clerk at a convenience store asks a man, who is buying a six pack of Miller Lite, what hes up to for the night. The man tells him hes headed for a little karaoke and with minimal encouragement gives the clerk a preview of his rendition of Kansas classic hit Carry on Wayward Son. Just as hes getting into it, a woman walks in and embarrassingly catches him in the act. As long as you are you, its Miller time."
https://d3npuic909260z.cloudfront.net/001/221/567/73a4.mp4,Michelob ULTRA,Michelob,en,Anheuser-Busch,"This group of friends enjoy hiking, snorkeling, and running marathons together. Michelob Ultra was was brought them together in the first place, and it still plays a part in their adventures today."
https://d3npuic909260z.cloudfront.net/001/221/223/73FR.mp4,Corona Extra Corona Extra,Corona Extra,en,Constellation Brands,"Summers back! Get your sandals on, grab your friends and get outside. Celebrate your favorite seasons return with the perfect summer drink, Corona Extra."
https://d3npuic909260z.cloudfront.net/001/221/267/73Ht.mp4,Redds Apple Ale Green Apple Ale | Redds Apple Ale Redds Apple Ale | Redds Apple Ale Strawberry Ale,Redd's Apple Ale,en,Molson Coors Brewing Company,"A drink vendor walks up to three guys during a boxing match and asks what he can get them. None of them can seem to decide. They suddenly get knocked out with three red apples. No need to be knocked out by a red apple to help you decide. Just have something different, like Redds Apple Ale."
https://d3npuic909260z.cloudfront.net/001/222/159/73PB.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"The camera glides over majestic snow drifts and snowy, mountain waterfalls of the Rocky Mountains. Coors Light is born from these cool, refreshing waters, and that inspires and shapes the kind of beer they make."
https://d3npuic909260z.cloudfront.net/001/241/980/740U.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"Refreshing the way things are done can be achieved by mixing things up. Adding an accordion to your traditional band, doing a different dance after scoring a touchdown and grilling carne asada from the standard hamburger and hot dogs are all ways to mix things up and refresh life."
https://d3npuic909260z.cloudfront.net/001/238/697/74AQ.mp4,Redds Apple Ale Redds Apple Ale,Redd's Apple Ale,es,Molson Coors Brewing Company,Quedan segundos en el partido de fútbol que los locutores de Deportes Univisión están anunciando. Se apuran para estar listos para la celebración del partido. Se atreven a probar algo nuevo y escogen Redds Apple Ale.
https://d3npuic909260z.cloudfront.net/001/241/463/74ea.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,"The 49th item on Bud Lights Summer Bucket List is to play ball. Players don protective bubbles before playing full contact soccer, enjoying themselves in front of a cityscape backdrop. Afterwards, they take a break on this hot sunny day with Bud Light."
https://d3npuic909260z.cloudfront.net/001/240/006/74KE.mp4,Coors Light Coors Light,Coors Light,es,Molson Coors Brewing Company,"Cubiertas de nieve y cascadas de montañas, las Rocky Mountains parecen ser un lugar majestuoso. Coors Light nació de estas aguas frías, inspirando la creación que es esta cerveza."
https://d3npuic909260z.cloudfront.net/001/241/990/74PI.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"Try something new to freshen things up. The food you eat, the music you listen to and the way you greet someone. Refresh your world by mixing it up and trying something new."
https://d3npuic909260z.cloudfront.net/001/207/772/7859.mp4,Modelo Especial,Modelo,en,Constellation Brands,Model Especial has been a full-flavored Mexican lager since 1925. The best taste is what transforms the ordinary into something especial.
https://d3npuic909260z.cloudfront.net/001/206/946/78A3.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,"A Bud Light is opened, and an answering machine message from Gregs boss commending him on his professionalism and ability to take life seriously as a young man plays as footage of Greg, whos out busy, living, is dancing with two girls in a wild party scene. Instead of a sharp tie and a crisp white shirt, hes sporting more of a grunge look as one of the girls hand feeds him pizza. Now, thats Bud Light living."
https://d3npuic909260z.cloudfront.net/001/208/015/78Bh.mp4,Bud Light Lime,Bud Light,en,Anheuser-Busch,"Summer has never looked so good than in the form of the new, curvaceous bottle of Bud Light Lime. Turn your summer on with the twist Bud Light Lime."
https://d3npuic909260z.cloudfront.net/001/208/000/78Bu.mp4,Bud Light-A-Rita Lime Lemon-Ade-Rita,Bud Light-A-Rita,en,Anheuser-Busch,"In an 80s themed rooftop party, nothing gets everyone moving their groove thang like Bud Lights new Lemon-Ade-Rita. Taste the flavor of fun and let the music take control with Bud Light."
https://d3npuic909260z.cloudfront.net/001/208/882/78Nu.mp4,Dos Equis Amber | Dos Equis Lager Especial,Dos Equis,en,Heineken International,"This guy grabs a couple of Dos Equis from the fridge and is ready to party it up on Cinco de Mayo. Hes got guacamole, una guitarra de Mexicana and a nine foot long burrito -- everything expect other people to party with. A man is kind enough to inform him that its Tuesday, and no one wants to party on a Tuesday. He encourages you not to let this happen to you and to celebrate Dos de Mayo, on Saturday, instead."
https://d3npuic909260z.cloudfront.net/001/247/462/7959.mp4,Tecate Light | Tecate Original,Tecate,en,Heineken International,"Tecates Black Eagle flies through a city skyline, while his crew of friends watch television. As he hovers in the sky in search of a bold flavor, someone cracks open a can of Tecate Light, instantly signaling the Black Eagle. Arriving to the wrong apartment, the Black Eagle doesnt seem to mind his erroneous landing, as the people there similarly represents his crew. Much like the Black Eagle, Tecates bold flavor cannot be tamed."
https://d3npuic909260z.cloudfront.net/001/249/008/79Fr.mp4,Corona Extra Corona Extra,Corona Extra,en,Constellation Brands,"Friends on a city rooftop share some Corona Extra, and the cloudy skies open up with rays of sunshine. Even the beach gets a little brighter when a group of beachgoers open up Corona. Sharon Van Etten covers the classic song Blue Skies as the soundtrack to this commercial."
https://d3npuic909260z.cloudfront.net/001/247/747/79gj.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"Donald Brink is a surfer and surfboard builder who found his own way to refresh his world. He recalls his history on how he got into building surfboards, and the joy he finds in seeing other people ride them."
https://d3npuic909260z.cloudfront.net/001/247/023/79tk.mp4,Leinenkugels Harvest Patch Shandy,Leinenkugel's,en,Molson Coors Brewing Company,Friends gather in the woods to share some Harvest Patch Shandy. Leinenkugel combined beer with natural pumpkin spice flavor to create their take on fall.
https://d3npuic909260z.cloudfront.net/001/246/949/79Zh.mp4,Leinenkugels Oktoberfest,Leinenkugel's,en,Molson Coors Brewing Company,"The name Leinenkugel is of German descent, thats why the Leinenkugel brewing company takes Oktoberfest pretty seriously. They celebrate with lederhosen, big steins and kegs full of their own German-style beer, Leinenkugels Oktoberfest."
https://d3npuic909260z.cloudfront.net/001/194/530/7a4i.mp4,Redds Apple Ale Green Apple Ale | Redds Apple Ale Redds Apple Ale,Redd's Apple Ale,es,Molson Coors Brewing Company,"Ahora que tu equipo preferido de fútnol ha ganado, es hora de celebrar con una cerveza de Redds Green Apple Ale."
https://d3npuic909260z.cloudfront.net/001/193/995/7a86.mp4,NULL,Blue Moon,en,Molson Coors Brewing Company,"Keith Villa, founder and head brewmaster of Blue Moon, explains that the typical orange garnish of a Blue Moon was not always served. Originally people began to serve Blue Moon with lemons, but because oranges are used in the brewing process, an orange garnish brings out the subtle sweetness of the beer."
https://d3npuic909260z.cloudfront.net/001/194/623/7a91.mp4,Dos Equis Amber | Dos Equis Lager Especial,Dos Equis,en,Heineken International,"The most interesting man in the world will tell you its not you, its him...even though its really him. Hell always knock down all ten pins in bowling, and he can make even the most abstract of art make sense. Best of all, hell do it while drinking Dos Equis."
https://d3npuic909260z.cloudfront.net/001/192/128/7aB_.mp4,Redds Apple Ale Green Apple Ale,Redd's Apple Ale,en,Molson Coors Brewing Company,"Wondering what beer to get? No need to be knocked out by a granny wielding green apples to help you decide. Just try something different, like Redds Green Apple Ale. Its brewed like beer, but tart like a Granny Smith Apple."
https://d3npuic909260z.cloudfront.net/001/191/702/7ab0.mp4,Corona Extra Corona Extra,Corona Extra,es,Constellation Brands,Todo lo que te gusta de Corona Extra viene ahora en una nueva lata.
https://d3npuic909260z.cloudfront.net/001/194/251/7acg.mp4,Smith & Forge Hard Cider,Smith & Forge,en,Molson Coors Brewing Company,"Smith & Ford Hard Cider is like Buford, who busies himself by turning a wrench so hard the entire bar tilts."
https://d3npuic909260z.cloudfront.net/001/192/496/7aDj.mp4,Redds Apple Ale Redds Apple Ale,Redd's Apple Ale,en,Molson Coors Brewing Company,"Redds Apple Ale is a big hit, even in the medieval times. The knights decision is made as his helmet slams shut with the smack of a crisp apple. Hell take a Redds Apple Ale and a wench, er, wrench."
https://d3npuic909260z.cloudfront.net/001/193/685/7aJS.mp4,Montejo Montejo,Montejo,es,NULL,Viva el sabor de la vida. Viva la calida de México con Montejo.
https://d3npuic909260z.cloudfront.net/001/193/682/7aJT.mp4,Corona Extra Corona Extra,Corona Extra,en,Constellation Brands,"The corona bottle has come a long way. It braved the oceans, clung to driftwood through storms, floated through shark infested waters and clouds of stinging jellyfish to bring you important news: the new corona can has arrived."
https://d3npuic909260z.cloudfront.net/001/192/382/7aKH.mp4,Michelob ULTRA,Michelob,en,Anheuser-Busch,"These friends are avid runners, and they make the most of every moment of the outdoors. What matters to them isnt running the fastest but rather spending time together, and thats a feeling difficult to put into words. When the group stops to take a break, theyre happy to do it with a refreshing bottle of Michelob Ultra. This light beer has only 95 calories and all the delicious you want."
https://d3npuic909260z.cloudfront.net/001/022/147/7ArC.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,"Dont stop the party! Pitbull has officially arrived, and he brought Bud Light with him. Dale!"
https://d3npuic909260z.cloudfront.net/001/193/576/7aXW.mp4,Corona Extra Corona Extra,Corona Extra,en,Constellation Brands,"Sometimes the world is just spinning a little too fast. Slow down, grab a Corona and relax at your own personal beach."
https://d3npuic909260z.cloudfront.net/001/192/578/7aym.mp4,Redds Apple Ale Redds Apple Ale,Redd's Apple Ale,en,Molson Coors Brewing Company,"Two businessmen hang out at a club in the 1920s, flappers and jazzy music and all, and one asks the other Tiny what hell be drinking. An apple flies from out of nowhere and hits Tinys head, at which point he decides hell have Redds Apple Ale. Its the bees knees and the cats pajamas, as they say."
https://d3npuic909260z.cloudfront.net/001/061/242/7bSd.mp4,NULL,Guinness,en,Diageo,"After a hard day of wheelchair basketball, these players celebrate with a cool, refreshing Guinness."
https://d3npuic909260z.cloudfront.net/001/226/091/7c0a.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,"While others would ask, why would you wear a full-on tuxedo in the desert, fly across the country just for a patio party, or pull up to the Digital Dreams music festival on a jet ski and in a space helmet, Bud Light asks, why the hell not? Welcome to Bud Light Living."
https://d3npuic909260z.cloudfront.net/001/140/142/7C2R.mp4,Redds Apple Ale Redds Apple Ale | Redds Apple Ale Strawberry Ale,Redd's Apple Ale,en,Molson Coors Brewing Company,"Inspiration can strike at any time, like an apple to the side of the head, reminding you its time for a Redds Apple Ale."
https://d3npuic909260z.cloudfront.net/001/223/603/7c51.mp4,Alaskan Brewing Co. Alaskan Amber,Alaskan Brewing Co.,en,NULL,"Watch as Alaskan Amber co-founders Geoff and Marcy Larson share the story of how the beer came to be what it is today. It started in a mining town where gold miners looked for sustenance, finding such in the beverage. With a recipe that was constructed from 1907 along with an infusion of the Douglas City Brewing Co. recipe, the Alaskan roots truly show in Alaskan Amber."
https://d3npuic909260z.cloudfront.net/001/223/630/7c5H.mp4,Dos Equis Amber | Dos Equis Lager Especial,Dos Equis,en,Heineken International,"The Most Interesting Man in the World is back showing off his modeling and athletic skills in another Dos Equis commercial. As he poses in a drawing class, the voice over explains that if he were to mispronounce your name, youd be compelled to change it. As he water skis in a perfectly posed pyramid of pretty ladies, we learn that therapists open up to him. And first dates? Ha, he skips them! The Most Interesting Man in the World might not always drink beer, but when he does, he drinks Dos Equis...and perfects his ding-dong ditching skills in a hotel with a French horn."
https://d3npuic909260z.cloudfront.net/001/223/633/7c5J.mp4,Corona Extra Corona Extra,Corona Extra,es,Constellation Brands,"El invierno le escribe una carta abierta al verano. Dice que el sol sale más tiempo en el verano. No es por ser celoso, pero el invierno nota que el verano también tiene asados, bikinis, fogatas y, sobre todo, cervezas Corona Extra. Juntos, las dos temporadas traen la cerveza y el hielo para hacer una combinación perfecta."
https://d3npuic909260z.cloudfront.net/001/139/379/7C7S.mp4,Samuel Adams OctoberFest,Samuel Adams,en,Boston Beer Company,Samuel Adams loves to brew their Octoberfest beer almost as much as they love drinking it.
https://d3npuic909260z.cloudfront.net/001/140/496/7CBd.mp4,Smirnoff (Beer) Original Ice,Smirnoff (Beer),en,Diageo,"Watch as Gameday Betty reminds us to drink responsibly during the NFL 2014 Season games, especially Mike."
https://d3npuic909260z.cloudfront.net/001/224/142/7cK8.mp4,Bud Light Bud Light,Bud Light,es,Anheuser-Busch,"Si usted está listo para lo que sea, Bud Light le anima a no decirlo, pero a demostrarlo. Dirígete a un mundo nuevo, pruebe cosas nuevas y haga nuevos amigos."
https://d3npuic909260z.cloudfront.net/001/223/381/7cqJ.mp4,Heineken Light Heineken Light,Heineken Light,en,Heineken International,"Neil Patrick Harris is back in another commercial, suited up and with the iconic green bottle of Heineken Light in hand. Heineken guarantees its the best light beer youve ever had, and they literally are putting money where their mouth is. Well, not literally, since Neil would literally never actually do that, but he still agrees Heineken is the best beer."
https://d3npuic909260z.cloudfront.net/001/223/379/7cqX.mp4,Miller Lite Miller Lite,Miller Lite,en,Molson Coors Brewing Company,"A man walks into a gas station passed the cashier, straight for the beer case. He grabs a six-pack of Miller Lite. As hes headed back out, the cashier nonchalantly wishes his dad a happy Fathers day. To which, his dad gives a grunt and a peace sign. As long as youre you, its Miller time."
https://d3npuic909260z.cloudfront.net/001/224/971/7cs9.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"Even though this mountain doesnt own a watch and isnt in a hurry to get where its going, it has still arrived after millions of years. And, its what inspired Coors to cold age their beer. Thankfully, that doesnt take a million years. Enjoy a cold Coors Light."
https://d3npuic909260z.cloudfront.net/001/222/886/7cwc.mp4,NULL,Heineken,en,Heineken International,"When these guys enter the convenience store, they come across a crossroads -- they must choose between going to work and watching a UEFA Champions League match. Once each guy chooses to follow the Watch the match sign, he is told to call his boss and try to convince him/her to join. At first, the bosses are skeptical and doubtful about dropping everything at the last minute. But, after some time, they decide to forget about all the details and just say yes."
https://d3npuic909260z.cloudfront.net/001/223/097/7cZb.mp4,Heineken Heineken,Heineken,es,Heineken International,"Si pudieras ir a ver un partido de la Champions League en Barcelona, ¿irías? Deja todo y lleva tu jefe al Camp Nou para ver al partido de Barcelona. No es una broma."
https://d3npuic909260z.cloudfront.net/001/031/760/7d4o.mp4,Bud Light Platinum,Bud Light,en,Anheuser-Busch,A woman gets ready to go out to watch Justin Timberlake perform Suit and Tie in this black and white commercial. They enjoy the show with Bud Light Platinum. One platinum hit deserves another.
https://d3npuic909260z.cloudfront.net/001/114/622/7D8K.mp4,Corona Extra Corona Extra,Corona Extra,es,Constellation Brands,Hay algo de la Corona Extra que está uniendo a la gente.
https://d3npuic909260z.cloudfront.net/001/114/900/7Dc8.mp4,Modelo Especial,Modelo,es,Constellation Brands,Modelo Especial es la cerveza del mundo real donde existe lealtad.
https://d3npuic909260z.cloudfront.net/001/112/642/7Df9.mp4,Crispin Cider Hard Apple Cider,Crispin Cider,en,Molson Coors Brewing Company,"Just north of their cidery in Colfax, California, in the great orchards of Oregon and Washington, Crispin Cider apples are hand picked then fresh pressed into delicious hard cider."
https://d3npuic909260z.cloudfront.net/001/029/584/7dGu.mp4,NULL,Budweiser,en,Anheuser-Busch,"Some bonds are timeless as this Super Bowl ad illustrates a rancher raising the youngest Budweiser Clydesdale. Of course, this little foal still needs a name so tweet your suggestions to @Budweiser."
https://d3npuic909260z.cloudfront.net/001/029/583/7dGz.mp4,Becks Beer Sapphire,Beck's Beer,en,Anheuser-Busch,"Becks Sapphire is all about keeping things smooth like how a fish swims. Thats why its made with German Sapphire aroma hops, creating a flavor thats the smoothest Becks yet."
https://d3npuic909260z.cloudfront.net/001/111/327/7DVd.mp4,Redds Apple Ale Redds Apple Ale,Redd's Apple Ale,en,Molson Coors Brewing Company,Enjoy the beverage thats crisp like an apple and brewed like an ale. Even Isaac and Robert in 1665 England cant get enough of it!
https://d3npuic909260z.cloudfront.net/001/195/678/7e2k.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"It all starts with a vision, something that entices you, moves you and refreshes everyone. Andre Woolery refreshes the world from New York City with pushpin artwork of influential icons. Join him and Coors Light, and push the peaks to new heights."
https://d3npuic909260z.cloudfront.net/001/195/701/7e2S.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"Venus X comes from both Dominican & Ecuadorean roots. Now, shes refreshing New York City as a celebrated DJ with sets that blend genres & cultures from everywhere. When the beat drops, will you be ready?"
https://d3npuic909260z.cloudfront.net/001/198/175/7e3W.mp4,The Traveler Beer Company Curious Lemon Shandy | The Traveler Beer Company Illusive Grapefruit Ale | The Traveler Beer Company Jack-O Pumpkin Shandy,The Traveler Beer Company,en,NULL,"We mustache you a question. Curious about the Traveler Beer company? Then, try one of their wheat ales including the Lemon Shandy."
https://d3npuic909260z.cloudfront.net/001/198/588/7e9O.mp4,Tecate Light | Tecate Original,Tecate,es,Heineken International,"El águila negra, The Black Eagle, nació valiente y en búsqueda de un sabor intenso. Vuela por el aire cuando escucha que se abre una lata de cerveza de Tecate Light. Detecta el sabor que busca y llega por la ventana a un apartamento equivocado. Con una entrada abrupta, todos se sorprenden al ver el águila negra, pero aún así, sigue la fiesta."
https://d3npuic909260z.cloudfront.net/001/195/634/7ebf.mp4,Bud Light Bud Light | Bud Light Platinum,Bud Light,en,Anheuser-Busch,"Nothing beats creating a town full of wild activities just for people who are #UpForWhatever...unless youre doing it twice! Bud Light is at it again with this years Whatever, USA 2.0. Audition today and do Whatever, USA."
https://d3npuic909260z.cloudfront.net/001/197/243/7eEQ.mp4,Miller Lite Miller Lite,Miller Lite,es,Molson Coors Brewing Company,"En un mundo donde todos viven felices para siempre, lo importante es lo que está pasando aquí y ahora. Pasamos el tiempo jugando bolos, béisbol y con un poco de cerveza Miller Lite."
https://d3npuic909260z.cloudfront.net/001/196/297/7eGh.mp4,Labatt Beer Blue | Labatt Beer Blue Light,Labatt Beer,en,Anheuser-Busch,"Labatt reveals the secret to their success in their latest commercial for Labatt Blue, which is fittingly set to the music of Canadian rock band, The Guess Who. So how do they brew such great beer? Pure Canadian water, 2-row malted barley, and they have one very important furry helper with a keen sense of smell, Blue Bear."
https://d3npuic909260z.cloudfront.net/001/196/151/7egr.mp4,Miller Lite Miller Lite,Miller Lite,en,Molson Coors Brewing Company,"Heres some bar trivia for you. Lite beer is the toughest beer in the world to brew, because theres nothing to disguise flaws. Miller Lite has won more gold medals than any other lite beer and still tastes like your favorite brew."
https://d3npuic909260z.cloudfront.net/001/197/647/7eJ1.mp4,Miller Lite Miller Lite,Miller Lite,en,Molson Coors Brewing Company,"Theres no better way to celebrate a strike in bowling, a home run in softball or a BBQ with friends than with a Miller Lite. Not into sports? Enjoy a refreshing beer with your feet up at home and itll taste like a grand slam right from the couch."
https://d3npuic909260z.cloudfront.net/001/198/346/7ePg.mp4,Coors Banquet Coors Banquet,Coors Banquet,en,Molson Coors Brewing Company,"In 1873, Mister Coors braved camping through the cold wall of mountains in Colorado with few men and horses to find the perfect Rocky Mountain water to brew the perfect beer. This beer was so good, he named it after himself. Taste the difference of Coors Banquet."
https://d3npuic909260z.cloudfront.net/001/198/374/7ePm.mp4,Coors Banquet Coors Banquet,Coors Banquet,en,Molson Coors Brewing Company,"In gold mining time, Mister Coors set the standard for happy hour with Coors Banquet Beer."
https://d3npuic909260z.cloudfront.net/001/196/397/7epp.mp4,Coors Peak Peak Copper Lager,Coors Peak,en,Molson Coors Brewing Company,"Why drink beer when you can enjoy an elevated taste of a full-flavored, naturally gluten free crisp copper lager? Coors introduces the all new Coors Peak Copper Lager."
https://d3npuic909260z.cloudfront.net/001/195/604/7eqh.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"Venus X, Bik-Ismo, DJ Dahi and Don C. refresh the world in their own unique way. You can refresh your world with Coors Light."
https://d3npuic909260z.cloudfront.net/001/196/639/7eR1.mp4,Miller Lite Miller Lite,Miller Lite,es,Molson Coors Brewing Company,Miller Lite es la cerveza que contiene un balance perfecto de mucho sabor y pocas calorías.
https://d3npuic909260z.cloudfront.net/001/196/213/7eSj.mp4,Redds Wicked Wicked Apple Ale | Redds Wicked Wicked Mango Ale,Redd's Wicked,en,Molson Coors Brewing Company,"A bartender presents a girl with a Steve-a-Rita that hardly looks refreshing. Shell stick with Redds Wicked Apple Ale, thanks,"
https://d3npuic909260z.cloudfront.net/001/196/211/7eSl.mp4,Strongbow Hard Apple Cider,Strongbow,en,Heineken International,"Break the ice with Patrick Stewart and the refreshingly crisp taste of Strongbow Hard Cider, the World Beer Championships Best Tasting Common Cider."
https://d3npuic909260z.cloudfront.net/001/197/294/7eW_.mp4,Bud Light MIXXTAIL Firewalker | Bud Light MIXXTAIL Hurricane | Bud Light MIXXTAIL Long Island,Bud Light,en,Anheuser-Busch,"A group of friends party on top of a rooftop to the taste bold, smooth cocktails, ready to go wherever the night takes them. Now with Big Light MIXXTAIL, you can take the delicious taste of cocktails with you wherever you decide to brig the party."
https://d3npuic909260z.cloudfront.net/001/173/925/7Fax.mp4,Miller Lite Miller Lite,Miller Lite,en,Molson Coors Brewing Company,It takes 21 days to brew a Miller Lite. Enjoy the perfect balance of lightness and taste from a Miller Lite today.
https://d3npuic909260z.cloudfront.net/001/082/677/7feB.mp4,Samuel Adams Cold Snap,Samuel Adams,en,Boston Beer Company,Taste the cool crispness of Samuel Adams Cold Snap.
https://d3npuic909260z.cloudfront.net/001/173/649/7FHB.mp4,NULL,Heineken,en,Heineken International,A sailor spots an ad for the UEFA Champions League game that night as his ship heads out to sea. He and his crew scramble to watch the game on board and celebrate with glasses of Heineken.
https://d3npuic909260z.cloudfront.net/001/173/833/7FJ1.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,"Next time youre drinking a crisp, delicious Bud Light, remember that its not only 12 ounces of refreshment but also 12 ounces of inspiration. Unleash yourself in a world of whatever and have a good time, and be more up for whatever than ever before."
